"id","subdistrict_and_thana_name","district_name"
"1","Norshingdi Sadar Upazila","Narsingdi"
"2","Monorhordi Upazila","Narsingdi"
"3","Shibpur Upazila","Narsingdi"
"4","Palash Upazila","Narsingdi"
"5","Belab Upazila","Narsingdi"
"6","Raipura Upazila","Narsingdi"
"7","Gazipur Sadar Upazila","Gazipur"
"8","Tongi Upazila","Gazipur"
"9","Kaligonj Upazila","Gazipur"
"10","Kaliakoir Upazila","Gazipur"
"11","Kapashia Upazila","Gazipur"
"12","Sreepur Upazila","Gazipur"
"13","Sariyatpur Sadar Upazila","Sherpur"
"14","Damudda Upazila","Sherpur"
"15","Noria Upazila","Sherpur"
"16","Jagira Upazila","Sherpur"
"17","Vedorgonj Upazila","Sherpur"
"18","Goshairhat Upazila","Sherpur"
"19","Narayangonj Sadar Upazila","Narayanganj"
"20","Bandor Upazila","Narayanganj"
"21","Sonargaon Upazila","Narayanganj"
"22","Araihazar Upazila","Narayanganj"
"23","Rupgonj Upazila","Narayanganj"
"24","Tangail Sadar Upazila","Tangail"
"25","Delduar Upazila","Tangail"
"26","Mirjapur Upazila","Tangail"
"27","Bhuapur Upazila","Tangail"
"28","Ghatail Upazila","Tangail"
"29","Bashail Upazila","Tangail"
"30","Nagorpur Upazila","Tangail"
"31","Kalihati Upazila","Tangail"
"32","Sokhipur Upazila","Tangail"
"33","Gopalpur Upazila","Tangail"
"34","Dhanbari Upazila","Tangail"
"35","Madhupur Upazila","Tangail"
"36","Keshoregonj Sadar Upazila","Kishoreganj"
"37","Hossainpur Upazila","Kishoreganj"
"38","Karimgonj Upazila","Kishoreganj"
"39","Pakundia Upazila","Kishoreganj"
"40","Nikli Upazila","Kishoreganj"
"41","Bajitpur Upazila","Kishoreganj"
"42","Kuliarchar Upazila","Kishoreganj"
"43","Bhairab Upazila","Kishoreganj"
"44","Mithamain Upazila","Kishoreganj"
"45","Itna Upazila","Kishoreganj"
"46","Kotiadi Upazila","Kishoreganj"
"47","Astagram Upazila","Kishoreganj"
"48","Tarail Upazila","Kishoreganj"
"49","Manikgonj Sadar Upazila","Manikganj"
"50","Singair Upazila","Manikganj"
"51","Daulatpur Upazila","Manikganj"
"52","Horirampur Upazila","Manikganj"
"53","Gheor Upazila","Manikganj"
"54","Shibaloy Upazila","Manikganj"
"55","Saturia Upazila","Manikganj"
"56","Kotwali Thana","Dhaka"
"57","Mohammadpur Thana","Dhaka"
"58","Lalbagh Thana","Dhaka"
"59","Sutrapur Thana","Dhaka"
"60","Motijgil Thana","Dhaka"
"61","Demra Thana","Dhaka"
"62","Sabujbagh Thana","Dhaka"
"63","Mirpur Thana","Dhaka"
"64","Gulshan Thana","Dhaka"
"65","Uttara Thana","Dhaka"
"66","Pallabi Thana","Dhaka"
"67","Cantonment Thana","Dhaka"
"68","Dhanmondi Thana","Dhaka"
"69","Tejgaon Thana","Dhaka"
"70","Ramna Thana","Dhaka"
"71","Keranigonj Upazila","Dhaka"
"72","Dohar Upazila","Dhaka"
"73","Nawabgonj Upazila","Dhaka"
"74","Savar Upazila","Dhaka"
"75","Dhamrai Upazila","Dhaka"
"76","Munshigonj Sadar Upazila","Munshiganj"
"77","Tungibari Upazila","Munshiganj"
"78","Louhagonj Upazila","Munshiganj"
"79","Sreenagar Upazila","Munshiganj"
"80","Sirajdikhan Upazila","Munshiganj"
"81","Gazaria Upazila","Munshiganj"
"82","Rajbari Sadar Upazila","Rajbari"
"83","Pangsha Upazila","Rajbari"
"84","Goalondo Upazila","Rajbari"
"85","Kalukhali Upazila","Rajbari"
"86","Baliakandi Upazila","Rajbari"
"87","Madaripur Sadar Upazila","Madaripur"
"88","Kalkini Upazila","Madaripur"
"89","Rajoir Upazila","Madaripur"
"90","Shibchar Upazila","Madaripur"
"91","Gopalgonj Sadar Upazila","Gopalganj"
"92","Kashiani Upazila","Gopalganj"
"93","Tongipara Upazila","Gopalganj"
"94","Muksudpur Upazila","Gopalganj"
"95","Kotalipara Upazila","Gopalganj"
"96","Faridpur Sadar Upazila","Faridpur"
"97","Boalmari Upazila","Faridpur"
"98","Sadarpur Upazila","Faridpur"
